order_id,item_id,product_id,quantity,list_price,discount,source,timestamp_saved
1,1,20,1,599.99,0.2,DB,2024-04-30 13:51:09.215030
1,2,8,2,1799.99,0.07,DB,2024-04-30 13:51:09.215030
1,3,10,2,1549.0,0.05,DB,2024-04-30 13:51:09.215030
1,4,16,2,599.99,0.05,DB,2024-04-30 13:51:09.215030
1,5,4,1,2899.99,0.2,DB,2024-04-30 13:51:09.215030
2,1,20,1,599.99,0.07,DB,2024-04-30 13:51:09.215030
2,2,16,2,599.99,0.05,DB,2024-04-30 13:51:09.215030
3,1,3,1,999.99,0.05,DB,2024-04-30 13:51:09.215030
3,2,20,1,599.99,0.05,DB,2024-04-30 13:51:09.215030
4,1,2,2,749.99,0.1,DB,2024-04-30 13:51:09.215030
5,1,10,2,1549.0,0.05,DB,2024-04-30 13:51:09.215030
2,2,16,2,599.99,0.05,DB,2024-04-30 13:51:09.215030
3,1,3,1,999.99,0.05,DB,2024-04-30 13:51:09.215030
5,2,17,1,429.0,0.07,DB,2024-04-30 13:51:09.215030
5,3,26,1,599.99,0.07,DB,2024-04-30 13:51:09.215030
6,1,18,1,449.0,0.07,DB,2024-04-30 13:51:09.215030
6,2,12,2,549.99,0.05,DB,2024-04-30 13:51:09.215030
6,3,20,1,599.99,0.1,DB,2024-04-30 13:51:09.215030
6,4,3,2,999.99,0.07,DB,2024-04-30 13:51:09.215030
6,5,9,2,2999.99,0.07,DB,2024-04-30 13:51:09.215030
7,1,15,1,529.99,0.07,DB,2024-04-30 13:51:09.215030
7,2,3,1,999.99,0.1,DB,2024-04-30 13:51:09.215030
7,3,17,2,429.0,0.1,DB,2024-04-30 13:51:09.215030
6,5,9,2,2999.99,0.07,DB,2024-04-30 13:51:09.215030
7,1,15,1,529.99,0.07,DB,2024-04-30 13:51:09.215030
7,2,3,1,999.99,0.1,DB,2024-04-30 13:51:09.215030
7,3,17,2,429.0,0.1,DB,2024-04-30 13:51:09.215030
8,1,22,1,269.99,0.05,DB,2024-04-30 13:51:09.215030
8,2,20,2,599.99,0.07,DB,2024-04-30 13:51:09.215030
9,1,7,2,3999.99,0.1,DB,2024-04-30 13:51:09.215030
10,1,14,1,269.99,0.1,DB,2024-04-30 13:51:09.215030
11,1,8,1,1799.99,0.05,DB,2024-04-30 13:51:09.215030
11,2,22,2,269.99,0.1,DB,2024-04-30 13:51:09.215030
11,3,16,2,599.99,0.2,DB,2024-04-30 13:51:09.215030
12,1,4,2,2899.99,0.1,DB,2024-04-30 13:51:09.215030
12,2,11,1,1680.99,0.05,DB,2024-04-30 13:51:09.215030
13,1,13,1,269.99,0.1,DB,2024-04-30 13:51:09.215030
13,2,17,2,429.0,0.05,DB,2024-04-30 13:51:09.215030
13,3,20,2,599.99,0.1,DB,2024-04-30 13:51:09.215030
13,4,16,2,599.99,0.05,DB,2024-04-30 13:51:09.215030
14,1,6,1,469.99,0.07,DB,2024-04-30 13:51:09.215030
15,1,12,2,549.99,0.07,DB,2024-04-30 13:51:09.215030
15,2,8,1,1799.99,0.07,DB,2024-04-30 13:51:09.215030
15,3,18,2,449.0,0.05,DB,2024-04-30 13:51:09.215030
15,4,23,2,299.99,0.2,DB,2024-04-30 13:51:09.215030
16,1,8,1,1799.99,0.2,DB,2024-04-30 13:51:09.215030
16,2,21,1,269.99,0.05,DB,2024-04-30 13:51:09.215030
16,3,13,2,269.99,0.07,DB,2024-04-30 13:51:09.215030
16,4,14,1,269.99,0.07,DB,2024-04-30 13:51:09.215030
17,1,8,1,1799.99,0.07,DB,2024-04-30 13:51:09.215030
17,2,23,1,299.99,0.1,DB,2024-04-30 13:51:09.215030
17,3,5,1,1320.99,0.1,DB,2024-04-30 13:51:09.215030
17,4,20,2,599.99,0.2,DB,2024-04-30 13:51:09.215030
18,1,2,2,749.99,0.2,DB,2024-04-30 13:51:09.215030
18,2,22,1,269.99,0.05,DB,2024-04-30 13:51:09.215030
18,3,7,1,3999.99,0.1,DB,2024-04-30 13:51:09.215030
18,4,25,2,499.99,0.05,DB,2024-04-30 13:51:09.215030
18,5,9,2,2999.99,0.1,DB,2024-04-30 13:51:09.215030
19,1,10,1,1549.0,0.07,DB,2024-04-30 13:51:09.215030
19,2,9,2,2999.99,0.2,DB,2024-04-30 13:51:09.215030
20,1,9,1,2999.99,0.07,DB,2024-04-30 13:51:09.215030
20,2,10,2,1549.0,0.07,DB,2024-04-30 13:51:09.215030
21,1,14,1,269.99,0.05,DB,2024-04-30 13:51:09.215030
21,2,17,1,429.0,0.1,DB,2024-04-30 13:51:09.215030
21,3,10,1,1549.0,0.07,DB,2024-04-30 13:51:09.215030
22,1,15,2,529.99,0.2,DB,2024-04-30 13:51:09.215030
22,2,22,1,269.99,0.05,DB,2024-04-30 13:51:09.215030
23,1,4,2,2899.99,0.05,DB,2024-04-30 13:51:09.215030
23,2,23,2,299.99,0.1,DB,2024-04-30 13:51:09.215030
23,3,13,1,269.99,0.2,DB,2024-04-30 13:51:09.215030
24,1,3,2,999.99,0.1,DB,2024-04-30 13:51:09.215030
24,2,18,2,449.0,0.07,DB,2024-04-30 13:51:09.215030
25,1,23,2,299.99,0.2,DB,2024-04-30 13:51:09.215030
25,2,10,2,1549.0,0.2,DB,2024-04-30 13:51:09.215030
25,3,22,1,269.99,0.2,DB,2024-04-30 13:51:09.215030
25,4,14,1,269.99,0.2,DB,2024-04-30 13:51:09.215030
25,5,21,1,269.99,0.1,DB,2024-04-30 13:51:09.215030
26,1,7,1,3999.99,0.05,DB,2024-04-30 13:51:09.215030
26,2,2,1,749.99,0.2,DB,2024-04-30 13:51:09.215030
26,3,12,1,549.99,0.2,DB,2024-04-30 13:51:09.215030
26,4,21,2,269.99,0.07,DB,2024-04-30 13:51:09.215030
27,1,5,1,1320.99,0.2,DB,2024-04-30 13:51:09.215030
27,2,19,1,449.0,0.2,DB,2024-04-30 13:51:09.215030
27,3,26,2,599.99,0.07,DB,2024-04-30 13:51:09.215030
27,4,8,1,1799.99,0.07,DB,2024-04-30 13:51:09.215030
28,1,5,1,1320.99,0.05,DB,2024-04-30 13:51:09.215030
28,2,7,2,3999.99,0.2,DB,2024-04-30 13:51:09.215030
28,3,14,2,269.99,0.1,DB,2024-04-30 13:51:09.215030
28,4,6,1,469.99,0.05,DB,2024-04-30 13:51:09.215030
29,1,24,2,549.99,0.05,DB,2024-04-30 13:51:09.215030
29,2,6,1,469.99,0.2,DB,2024-04-30 13:51:09.215030
29,3,21,2,269.99,0.1,DB,2024-04-30 13:51:09.215030
29,4,8,1,1799.99,0.2,DB,2024-04-30 13:51:09.215030
29,5,14,2,269.99,0.05,DB,2024-04-30 13:51:09.215030
30,1,26,1,599.99,0.05,DB,2024-04-30 13:51:09.215030
30,2,17,1,429.0,0.07,DB,2024-04-30 13:51:09.215030
30,3,19,1,449.0,0.1,DB,2024-04-30 13:51:09.215030
30,4,4,1,2899.99,0.1,DB,2024-04-30 13:51:09.215030
30,5,7,2,3999.99,0.1,DB,2024-04-30 13:51:09.215030
31,1,11,2,1680.99,0.05,DB,2024-04-30 13:51:09.215030
31,2,9,2,2999.99,0.2,DB,2024-04-30 13:51:09.215030
32,1,8,2,1799.99,0.07,DB,2024-04-30 13:51:09.215030
32,2,12,2,549.99,0.07,DB,2024-04-30 13:51:09.215030
32,3,25,2,499.99,0.1,DB,2024-04-30 13:51:09.215030
33,1,23,2,299.99,0.07,DB,2024-04-30 13:51:09.215030
33,2,7,1,3999.99,0.1,DB,2024-04-30 13:51:09.215030
34,1,8,2,1799.99,0.07,DB,2024-04-30 13:51:09.215030
34,2,10,2,1549.0,0.1,DB,2024-04-30 13:51:09.215030
34,3,17,2,429.0,0.2,DB,2024-04-30 13:51:09.215030
35,1,18,1,449.0,0.05,DB,2024-04-30 13:51:09.215030
35,2,20,2,599.99,0.05,DB,2024-04-30 13:51:09.215030
35,3,5,1,1320.99,0.2,DB,2024-04-30 13:51:09.215030
35,4,21,2,269.99,0.07,DB,2024-04-30 13:51:09.215030
35,5,22,1,269.99,0.07,DB,2024-04-30 13:51:09.215030
36,1,9,1,2999.99,0.07,DB,2024-04-30 13:51:09.215030
36,2,5,1,1320.99,0.05,DB,2024-04-30 13:51:09.215030
