order_id,item_id,product_id,quantity,list_price_x,discount,source_x,timestamp_saved_x,EGP,list_price_egp,customer_id,order_status,order_date,required_date,shipped_date,store_id,staff_id,source_x,timestamp_saved_y,late_delivery,latency_days,weekend,product_name,brand_id,category_id,model_year,list_price_y,source_y,timestamp_saved
1,1,20,1,599.99,0.2,DB,2024-04-30 13:51:09.215030,47.9195,28751.220805,259,4,2016-01-01,2016-01-03,2016-01-03,1,2,DB,2024-04-30 13:51:08.897597,False,0.0,True,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99,DL,2024-04-28 17:57:15.953684
2,1,20,1,599.99,0.07,DB,2024-04-30 13:51:09.215030,47.9195,28751.220805,1212,4,2016-01-01,2016-01-04,2016-01-03,2,6,DB,2024-04-30 13:51:08.897597,False,,True,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99,DL,2024-04-28 17:57:15.953684
3,2,20,1,599.99,0.05,DB,2024-04-30 13:51:09.215030,47.9195,28751.220805,523,4,2016-01-02,2016-01-05,2016-01-03,2,7,DB,2024-04-30 13:51:08.897597,False,,True,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99,DL,2024-04-28 17:57:15.953684
13,3,20,2,599.99,0.1,DB,2024-04-30 13:51:09.215030,47.9195,28751.220805,873,4,2016-01-08,2016-01-11,2016-01-11,2,6,DB,2024-04-30 13:51:08.897597,False,0.0,True,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99,DL,2024-04-28 17:57:15.953684
17,4,20,2,599.99,0.2,DB,2024-04-30 13:51:09.215030,47.9195,28751.220805,1175,4,2016-01-12,2016-01-14,2016-01-14,1,3,DB,2024-04-30 13:51:08.897597,False,0.0,False,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99,DL,2024-04-28 17:57:15.953684
35,2,20,2,599.99,0.05,DB,2024-04-30 13:51:09.215030,47.9195,28751.220805,813,4,2016-01-22,2016-01-25,2016-01-24,2,7,DB,2024-04-30 13:51:08.897597,False,,True,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99,DL,2024-04-28 17:57:15.953684
51,2,20,1,599.99,0.05,DB,2024-04-30 13:51:09.215030,47.9195,28751.220805,1047,4,2016-02-01,2016-02-02,2016-02-03,2,7,DB,2024-04-30 13:51:08.897597,True,1.0,False,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99,DL,2024-04-28 17:57:15.953684
56,1,20,2,599.99,0.07,DB,2024-04-30 13:51:09.215030,47.9195,28751.220805,1241,4,2016-02-04,2016-02-06,2016-02-07,2,6,DB,2024-04-30 13:51:08.897597,True,1.0,True,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99,DL,2024-04-28 17:57:15.953684
77,1,20,1,599.99,0.07,DB,2024-04-30 13:51:09.215030,47.9195,28751.220805,385,4,2016-02-16,2016-02-19,2016-02-19,1,2,DB,2024-04-30 13:51:08.897597,False,0.0,False,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99,DL,2024-04-28 17:57:15.953684
83,1,20,1,599.99,0.2,DB,2024-04-30 13:51:09.215030,47.9195,28751.220805,393,4,2016-02-19,2016-02-20,2016-02-20,1,3,DB,2024-04-30 13:51:08.897597,False,0.0,False,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99,DL,2024-04-28 17:57:15.953684
