order_id,item_id,product_id,quantity,list_price,discount,source_x,timestamp_saved,EGP,list_price_egp
1,1,20,1,599.99,0.2,DB,2024-04-30 13:51:09.215030,47.9195,28751.220805
1,2,8,2,1799.99,0.07,DB,2024-04-30 13:51:09.215030,47.9195,86254.620805
1,3,10,2,1549.0,0.05,DB,2024-04-30 13:51:09.215030,47.9195,74227.3055
1,4,16,2,599.99,0.05,DB,2024-04-30 13:51:09.215030,47.9195,28751.220805
1,5,4,1,2899.99,0.2,DB,2024-04-30 13:51:09.215030,47.9195,138966.070805
2,1,20,1,599.99,0.07,DB,2024-04-30 13:51:09.215030,47.9195,28751.220805
2,2,16,2,599.99,0.05,DB,2024-04-30 13:51:09.215030,47.9195,28751.220805
3,1,3,1,999.99,0.05,DB,2024-04-30 13:51:09.215030,47.9195,47919.020805
3,2,20,1,599.99,0.05,DB,2024-04-30 13:51:09.215030,47.9195,28751.220805
4,1,2,2,749.99,0.1,DB,2024-04-30 13:51:09.215030,47.9195,35939.145805
5,1,10,2,1549.0,0.05,DB,2024-04-30 13:51:09.215030,47.9195,74227.3055
5,2,17,1,429.0,0.07,DB,2024-04-30 13:51:09.215030,47.9195,20557.4655
5,3,26,1,599.99,0.07,DB,2024-04-30 13:51:09.215030,47.9195,28751.220805
6,1,18,1,449.0,0.07,DB,2024-04-30 13:51:09.215030,47.9195,21515.8555
6,2,12,2,549.99,0.05,DB,2024-04-30 13:51:09.215030,47.9195,26355.245805
6,3,20,1,599.99,0.1,DB,2024-04-30 13:51:09.215030,47.9195,28751.220805
6,4,3,2,999.99,0.07,DB,2024-04-30 13:51:09.215030,47.9195,47919.020805
6,5,9,2,2999.99,0.07,DB,2024-04-30 13:51:09.215030,47.9195,143758.02080499998
7,1,15,1,529.99,0.07,DB,2024-04-30 13:51:09.215030,47.9195,25396.855805
7,2,3,1,999.99,0.1,DB,2024-04-30 13:51:09.215030,47.9195,47919.020805
7,3,17,2,429.0,0.1,DB,2024-04-30 13:51:09.215030,47.9195,20557.4655
8,1,22,1,269.99,0.05,DB,2024-04-30 13:51:09.215030,47.9195,12937.785805
8,2,20,2,599.99,0.07,DB,2024-04-30 13:51:09.215030,47.9195,28751.220805
9,1,7,2,3999.99,0.1,DB,2024-04-30 13:51:09.215030,47.9195,191677.52080499998
10,1,14,1,269.99,0.1,DB,2024-04-30 13:51:09.215030,47.9195,12937.785805
11,1,8,1,1799.99,0.05,DB,2024-04-30 13:51:09.215030,47.9195,86254.620805
11,2,22,2,269.99,0.1,DB,2024-04-30 13:51:09.215030,47.9195,12937.785805
11,3,16,2,599.99,0.2,DB,2024-04-30 13:51:09.215030,47.9195,28751.220805
12,1,4,2,2899.99,0.1,DB,2024-04-30 13:51:09.215030,47.9195,138966.070805
12,2,11,1,1680.99,0.05,DB,2024-04-30 13:51:09.215030,47.9195,80552.200305
13,1,13,1,269.99,0.1,DB,2024-04-30 13:51:09.215030,47.9195,12937.785805
13,2,17,2,429.0,0.05,DB,2024-04-30 13:51:09.215030,47.9195,20557.4655
13,3,20,2,599.99,0.1,DB,2024-04-30 13:51:09.215030,47.9195,28751.220805
13,4,16,2,599.99,0.05,DB,2024-04-30 13:51:09.215030,47.9195,28751.220805
