store_id,product_id,quantity,source,timestamp_saved
1,1,27,DL,2024-04-30 11:21:28.061793
1,2,5,DL,2024-04-30 11:21:28.061793
1,3,6,DL,2024-04-30 11:21:28.061793
1,4,23,DL,2024-04-30 11:21:28.061793
1,5,22,DL,2024-04-30 11:21:28.061793
1,6,0,DL,2024-04-30 11:21:28.061793
1,7,8,DL,2024-04-30 11:21:28.061793
1,8,0,DL,2024-04-30 11:21:28.061793
1,9,11,DL,2024-04-30 11:21:28.061793
1,10,15,DL,2024-04-30 11:21:28.061793
1,11,8,DL,2024-04-30 11:21:28.061793
1,12,16,DL,2024-04-30 11:21:28.061793
1,13,13,DL,2024-04-30 11:21:28.061793
1,14,8,DL,2024-04-30 11:21:28.061793
1,15,3,DL,2024-04-30 11:21:28.061793
1,16,4,DL,2024-04-30 11:21:28.061793
1,17,2,DL,2024-04-30 11:21:28.061793
1,18,16,DL,2024-04-30 11:21:28.061793
1,19,4,DL,2024-04-30 11:21:28.061793
1,20,26,DL,2024-04-30 11:21:28.061793
1,21,24,DL,2024-04-30 11:21:28.061793
1,22,29,DL,2024-04-30 11:21:28.061793
1,23,9,DL,2024-04-30 11:21:28.061793
1,24,10,DL,2024-04-30 11:21:28.061793
1,25,10,DL,2024-04-30 11:21:28.061793
1,26,16,DL,2024-04-30 11:21:28.061793
1,27,21,DL,2024-04-30 11:21:28.061793
1,28,20,DL,2024-04-30 11:21:28.061793
1,29,13,DL,2024-04-30 11:21:28.061793
1,30,30,DL,2024-04-30 11:21:28.061793
1,31,2,DL,2024-04-30 11:21:28.061793
1,32,0,DL,2024-04-30 11:21:28.061793
1,33,10,DL,2024-04-30 11:21:28.061793
1,34,2,DL,2024-04-30 11:21:28.061793
1,35,18,DL,2024-04-30 11:21:28.061793
1,36,26,DL,2024-04-30 11:21:28.061793
1,37,12,DL,2024-04-30 11:21:28.061793
1,38,13,DL,2024-04-30 11:21:28.061793
1,39,2,DL,2024-04-30 11:21:28.061793
1,40,24,DL,2024-04-30 11:21:28.061793
1,41,10,DL,2024-04-30 11:21:28.061793
1,42,0,DL,2024-04-30 11:21:28.061793
1,43,2,DL,2024-04-30 11:21:28.061793
1,44,1,DL,2024-04-30 11:21:28.061793
1,45,15,DL,2024-04-30 11:21:28.061793
1,46,19,DL,2024-04-30 11:21:28.061793
1,47,21,DL,2024-04-30 11:21:28.061793
1,48,5,DL,2024-04-30 11:21:28.061793
1,49,8,DL,2024-04-30 11:21:28.061793
1,50,29,DL,2024-04-30 11:21:28.061793
1,51,2,DL,2024-04-30 11:21:28.061793
1,52,18,DL,2024-04-30 11:21:28.061793
1,53,17,DL,2024-04-30 11:21:28.061793
1,54,11,DL,2024-04-30 11:21:28.061793
1,55,11,DL,2024-04-30 11:21:28.061793
1,56,15,DL,2024-04-30 11:21:28.061793
1,57,1,DL,2024-04-30 11:21:28.061793
1,58,1,DL,2024-04-30 11:21:28.061793
1,59,22,DL,2024-04-30 11:21:28.061793
1,60,19,DL,2024-04-30 11:21:28.061793
1,61,30,DL,2024-04-30 11:21:28.061793
1,62,21,DL,2024-04-30 11:21:28.061793
1,63,4,DL,2024-04-30 11:21:28.061793
1,64,30,DL,2024-04-30 11:21:28.061793
1,65,10,DL,2024-04-30 11:21:28.061793
1,66,12,DL,2024-04-30 11:21:28.061793
1,67,19,DL,2024-04-30 11:21:28.061793
1,68,30,DL,2024-04-30 11:21:28.061793
1,69,4,DL,2024-04-30 11:21:28.061793
1,70,3,DL,2024-04-30 11:21:28.061793
1,71,25,DL,2024-04-30 11:21:28.061793
1,72,9,DL,2024-04-30 11:21:28.061793
1,73,7,DL,2024-04-30 11:21:28.061793
1,74,9,DL,2024-04-30 11:21:28.061793
1,75,23,DL,2024-04-30 11:21:28.061793
1,76,15,DL,2024-04-30 11:21:28.061793
1,77,16,DL,2024-04-30 11:21:28.061793
1,78,13,DL,2024-04-30 11:21:28.061793
1,79,13,DL,2024-04-30 11:21:28.061793
1,80,11,DL,2024-04-30 11:21:28.061793
1,81,25,DL,2024-04-30 11:21:28.061793
1,82,1,DL,2024-04-30 11:21:28.061793
1,83,13,DL,2024-04-30 11:21:28.061793
1,84,11,DL,2024-04-30 11:21:28.061793
1,85,23,DL,2024-04-30 11:21:28.061793
1,86,19,DL,2024-04-30 11:21:28.061793
1,87,27,DL,2024-04-30 11:21:28.061793
1,88,7,DL,2024-04-30 11:21:28.061793
1,89,9,DL,2024-04-30 11:21:28.061793
1,90,4,DL,2024-04-30 11:21:28.061793
1,91,8,DL,2024-04-30 11:21:28.061793
1,92,0,DL,2024-04-30 11:21:28.061793
1,93,22,DL,2024-04-30 11:21:28.061793
1,94,6,DL,2024-04-30 11:21:28.061793
1,95,25,DL,2024-04-30 11:21:28.061793
1,96,20,DL,2024-04-30 11:21:28.061793
1,97,20,DL,2024-04-30 11:21:28.061793
1,98,28,DL,2024-04-30 11:21:28.061793
1,99,28,DL,2024-04-30 11:21:28.061793
1,100,15,DL,2024-04-30 11:21:28.061793
1,101,17,DL,2024-04-30 11:21:28.061793
1,102,9,DL,2024-04-30 11:21:28.061793
1,103,13,DL,2024-04-30 11:21:28.061793
1,104,25,DL,2024-04-30 11:21:28.061793
1,105,7,DL,2024-04-30 11:21:28.061793
1,106,30,DL,2024-04-30 11:21:28.061793
1,107,20,DL,2024-04-30 11:21:28.061793
1,108,15,DL,2024-04-30 11:21:28.061793
1,109,30,DL,2024-04-30 11:21:28.061793
1,110,1,DL,2024-04-30 11:21:28.061793
1,111,11,DL,2024-04-30 11:21:28.061793
1,112,17,DL,2024-04-30 11:21:28.061793
1,113,24,DL,2024-04-30 11:21:28.061793
1,114,3,DL,2024-04-30 11:21:28.061793
1,115,10,DL,2024-04-30 11:21:28.061793
1,116,24,DL,2024-04-30 11:21:28.061793
1,117,15,DL,2024-04-30 11:21:28.061793
1,118,12,DL,2024-04-30 11:21:28.061793
1,119,17,DL,2024-04-30 11:21:28.061793
1,120,23,DL,2024-04-30 11:21:28.061793
1,121,19,DL,2024-04-30 11:21:28.061793
1,122,22,DL,2024-04-30 11:21:28.061793
1,123,8,DL,2024-04-30 11:21:28.061793
